a|bitta
loose|bo’sh
lose|yo’qotish
loss|yo’qotish
lost|yo’qolgan
lot|ko’p
lots|ko’p
loud|baland ovozda
love|sevgi
lovely|yoqimli
lover|sevgilisi
low|past
lower|pastroq
luck|omad
lucky|omadli
lunch|tushlik
lung|o’pka
machine|mashina
mad|Telba
made|qilingan
magazine|jurnal
magnet|magnit
mail|pochta
main|asosiy
mainly|asosan
maintain|saqlab turish
maintenance|texnik xizmat ko’rsatish
major|mayor
majority|ko’pchilik
make|qilish
maker|yaratuvchi
makeup|grim surmoq, pardoz qilmoq; yasamoq, tuzmoq
male|erkak
mall|savdo markazi
man|kishi
manage|boshqarish
management|boshqaruv
manager|menejer
manner|usul
manufacturer|ishlab chiqaruvchi
manufacturing|ishlab chiqarish
many|ko’p
map|xarita
margin|marja
mark|belgi
market|bozor
marketing|marketing
marriage|nikoh
married|uylangan
marry|uylanmoq
mask|niqob
mass|massa
massive|katta
master|usta
match|mos
material|material
math|matematika
matter|masala
may|mumkin
maybe|balki
mayor|mer
me|men
meal|ovqat
mean|anglatadi
meaning|ma’nosi
meant|nazarda tutgan
meanwhile|ayni paytda
measure|o’lchov
measurement|o’lchov
meat|go’sht
mechanism|mexanizmi
media|ommaviy axborot vositalari
medical|tibbiy
medication|dori
medicine|Dori
medium|o’rta
meet|uchrashish
meeting|uchrashuv
melody|ohang
member|a’zosi
membership|A’zolik
memory|xotira
men|erkaklar
mental|ruhiy
mention|eslatib o’tish
menu|menyu
mere|oddiy
merely|shunchaki
mess|tartibsizlik
message|xabar
metal|metall
meter|metr
method|usuli
Mexican|meksikalik
middle|o’rtada
might|mumkin
mile|milya
military|harbiy
milk|sut
million|million
mind|aql
mine|meniki
minister|vazir
minor|kichik
minority|ozchilik
minute|daqiqa
miracle|mo”jiza
mirror|oyna
miss|sog’indim
missile|raketa
mission|missiya
mistake|Xato
mix|aralashtirmoq
mixture|aralashmasi
mode|rejimi
model|model
moderate|o’rtacha
modern|zamonaviy
modest|kamtarin
molecule|molekulasi
mom|onam
moment|moment
money|pul
monitor|monitor
month|oy
mood|kayfiyat
moon|oy
moral|ahloqiy
more|Ko’proq
moreover|bundan tashqari
morning|ertalab
mortgage|ipoteka
most|eng
mostly|asosan
mother|Ona
motion|harakat
motivation|motivatsiya
motor|motor
mount|o’rnatish
mountain|tog
mouse|sichqoncha
mouth|og’iz
move|harakat
movement|harakat
movie|kino
Mr|Janob
Mrs|Missis
Ms|Xonim
much|ko’p
multiple|bir nechta
multiply|ko’paytirmoq
murder|qotillik
muscle|muskul
museum|muzey
music|musiqa
musical|musiqiy
musician|musiqachi
Muslim|musulmon
must|kerak
mutual|o’zaro
my|mening
myself|o’zim
mystery|sir
myth|afsona
naked|yalang’och
name|nomi
narrative|hikoya
narrow|tor
nation|millat
national|milliy
native|onalik
natural|tabiiy
naturally|tabiiy ravishda
nature|tabiat
near|yaqin
nearby|yaqin
nearly|deyarli
necessarily|albatta
necessary|zarur
neck|bo’yin
need|kerak
negative|salbiy
negotiate|muzokara qilish
negotiation|muzokaralar
neighbor|qo’shni
neighborhood|Turar joy dahasi
neither|na
nerve|asab
nervous|asabiy
net|to’r
network|tarmoq
never|hech qachon
nevertheless|shunga qaramay
new|yangi
newly|Yangi
news|Yangiliklar
newspaper|gazeta
next|Keyingi
nice|yaxshi
night|tun
nine|to’qqiz
no|yo’q
nobody|hech kim
nod|bosh irg’adi
noise|shovqin
nomination|nominatsiya
none|yo’q
nonetheless|shunga qaramay
noon|peshin
nor|na
normal|normal
normally|odatda
north|shimol
northern|shimoliy
nose|burun
not|emas
note|Eslatma
nothing|hech narsa
notice|xabarnoma
notion|tushuncha
noun|ism
novel|roman
now|hozir
nowhere|hech qayerda
n’t|yo’q
nuclear|yadroviy
number|raqam
numeral|raqam
numerous|ko’p
nurse|hamshira
nut|yong’oq
object|ob’ekt
objective|ob’ektiv
obligation|majburiyat
observation|kuzatuv
observe|kuzating
observer|kuzatuvchi
obtain|olish
obvious|aniq
obviously|aniq
occasion|fursat
occasionally|vaqti-vaqti bilan
occupation|kasb
occupy|egallash
occur|yuzaga keladi
ocean|okean
odd|g’alati
odds|imkoniyatlar
of|ning
off|o’chirilgan
offense|jinoyat
offensive|hujumkor
offer|taklif
office|idora
officer|ofitser
official|rasmiy
often|tez-tez
oh|oh
oil|moy
ok|ok
okay|xop
old|eski
Olympic|Olimpiya
on|yoqilgan
once|bir marta
one|bitta
ongoing|davom etayotgan
onion|piyoz
online|onlayn
only|faqat
onto|ustiga
open|ochiq
opening|ochilish
operate|ishlaydi
operating|faoliyat ko’rsatmoqda
operation|operatsiya
operator|operator
opinion|fikr
opponent|raqib
opportunity|imkoniyat
oppose|qarshi
opposite|qarama-qarshi
opposition|qarama-qarshilik
option|variant
or|yoki
orange|apelsin
order|buyurtma
ordinary|oddiy
organ|organ
organic|organik
organization|tashkilot
organize|tashkil qilish
orientation|orientatsiya
origin|kelib chiqishi
original|original
originally|asli
other|boshqa
others|boshqalar
otherwise|aks holda
ought|kerak
our|bizning
ourselves|o’zimiz
out|tashqariga
outcome|natija
outside|tashqarida
oven|pech
over|ustida
overall|umumiy
overcome|yengish
overlook|e’tiborsizlik
owe|qarz
own|Shaxsiy
owner|egasi
oxygen|kislorod
pace|sur’at
pack|paket
package|paket
page|sahifa
pain|og’riq
painful|alamli
paint|bo’yamoq
painter|rassom
painting|rasm chizish
pair|juft
pale|rangpar
Palestinian|falastinlik
palm|kaft
pan|pan
panel|paneli
pant|shim
paper|qog’oz
paragraph|paragraf
parent|ota-ona
park|park
parking|avtoturargoh
part|qismi
participant|ishtirokchi
participate|ishtirok etish
participation|ishtirok etish
particular|alohida
particularly|ayniqsa
partly|qisman
partner|hamkor
partnership|hamkorlik
party|partiya
pass|o’tish
passage|o’tish
passenger|yo’lovchi
passion|ehtiros
past|o’tgan
patch|yamoq
path|yo’l
patient|sabr
pattern|naqsh
pause|pauza
pay|to’lash
payment|to’lov
PC|Kompyuter
peace|tinchlik
peak|cho’qqi
peer|tengdosh
penalty|jarima
people|odamlar
pepper|Qalapmir
per|boshiga
perceive|idrok etish
percentage|foiz
perception|idrok
perfect|mukammal
perfectly|Mukammal
perform|bajarish
performance|ishlash
perhaps|balki
period|davr
permanent|doimiy
permission|ruxsat
permit|ruxsat
person|odam
personal|shaxsiy
personality|shaxsiyat
personally|shaxsan
personnel|xodimlar
perspective|nuqtai nazar
persuade|ishontirish
pet|Uy hayvoni
phase|bosqichi
phenomenon|hodisa
philosophy|falsafa
phone|telefon
photo|fotosurat
photograph|fotosurat
photographer|fotograf
phrase|ibora
physical|jismoniy
physically|jismonan
physician|shifokor
piano|pianino
pick|tanlash
picture|rasm
pie|pirog
piece|parcha
pile|qoziq
pilot|uchuvchi
pine|qarag’ay
pink|pushti
pipe|quvur
pitch|balandlik
place|joy
plain|oddiy
plan|reja
plane|samolyot
planet|sayyora
planning|rejalashtirish
plant|o’simlik
plastic|plastik
plate|plastinka
platform|platforma
play|o’ynash
player|futbolchi
please|Iltimos
pleasure|zavq
plenty|ko’p
plot|uchastka
plural|koʻplik
plus|ortiqcha
PM|PM
pocket|cho’ntak
poem|she’r
poet|shoir
poetry|she’riyat
point|nuqta
pole|qutb
police|politsiya
policy|siyosat
political|siyosiy
politically|siyosiy jihatdan
politician|siyosatchi
politics|siyosat
poll|so’rov
pollution|ifloslanish
pool|basseyn
poor|kambag’al
pop|pop
popular|mashhur
populate|joylashtirmoq
population|aholi
porch|ayvon
port|port
portion|qismi
portrait|portret
portray|tasvirlash
pose|poza
position|pozitsiya
positive|ijobiy
possess|egalik qilish
possibility|imkoniyat
possible|mumkin
possibly|ehtimol
post|post
pot|qozon
potato|kartoshka
potential|salohiyat
potentially|potentsial
pound|funt
pour|quying
poverty|qashshoqlik
powder|kukun
power|kuch
powerful|kuchli
practical|amaliy
practice|amaliyot
pray|ibodat qiling
prayer|ibodat
precisely|aniq
predict|bashorat qilish
prefer|afzal
preference|afzal ko’rish
pregnancy|homiladorlik
pregnant|homilador
preparation|tayyorlash
prepare|tayyorlamoq
prescription|retsept
presence|mavjudligi
present|hozir
presentation|taqdimot
preserve|saqlash
president|Prezident
presidential|prezidentlik
press|bosing
pressure|bosim
pretend|go’yo
pretty|go’zal
prevent|oldini olish
previous|oldingi
previously|avval
price|narx
pride|g’urur
priest|ruhoniy
primarily|birinchi navbatda
primary|asosiy
prime|asosiy
principal|asosiy
principle|tamoyili
print|chop etish
prior|oldin
priority|ustuvorlik
prison|qamoqxona
prisoner|mahbus
privacy|maxfiylik
private|xususiy
probable|ehtimol
probably|ehtimol
problem|muammo
procedure|tartib
proceed|davom eting
process|jarayon
produce|mahsulot
producer|ishlab chiqaruvchi
product|mahsulot
production|ishlab chiqarish
profession|kasb
professional|professional
professor|professor
profile|profil
profit|foyda
program|dastur
progress|taraqqiyot
project|loyiha
prominent|ko’zga ko’ringan
promise|va’da
promote|targ’ib qilish
prompt|taklif
proof|dalil
proper|to’g’ri
properly|to’g’ri
property|mulk
proportion|nisbat
proposal|taklif
propose|taklif qilish
proposed|taklif qilingan
prosecutor|prokuror
prospect|istiqbol
protect|himoya qilish
protection|himoya qilish
protein|oqsil
protest|norozilik bildirish
proud|mag’rur
prove|isbotlash
provide|ta’minlash
provider|provayder
province|viloyat
provision|ta’minlash
psychological|psixologik
psychologist|psixolog
psychology|psixologiya
public|ommaviy
publication|nashr
publicly|ommaviy ravishda
publish|nashr qilish
publisher|nashriyotchi
pull|Torting
punishment|jazo
purchase|sotib olish
pure|toza
purpose|maqsad
pursue|ta’qib qilish
push|Durang
put|qo’yish
qualify|saralash
quality|sifat
quart|kvart
quarter|chorak
quarterback|yarim himoyachi
question|savol
quick|tez
quickly|tez
quiet|tinch
quietly|sekin
quit|tark et
quite|juda
quote|iqtibos
quotient|ko’rsatkich
race|poyga
racial|irqiy
radical|radikal
radio|radio
rail|temir yo’l
rain|yomg’ir
raise|oshirish
ran|yugurdi
range|diapazon
rank|daraja
rapid|tez
rapidly|tez
rare|kamdan-kam
rarely|kamdan-kam hollarda
rate|darajasi
rather|aksincha
rating|reyting
ratio|nisbat
raw|xom
reach|erishish
react|reaksiyaga kirishish
reaction|reaktsiya
read|o’qing
reader|o’quvchi
reading|o’qish
ready|tayyor
real|haqiqiy
reality|haqiqat
realize|anglash
really|haqiqatan ham
reason|sabab
reasonable|oqilona
recall|eslash
receive|qabul qilish
recent|yaqinda
recently|yaqinda
recipe|retsept
recognition|tan olish
recognize|tanib olish
recommend|tavsiya eting
recommendation|tavsiya
record|rekord
recording|yozib olish
recover|tiklanish
recovery|tiklanish
recruit|yollash
red|qizil
reduce|kamaytirish
reduction|kamaytirish
refer|murojaat qiling
reference|ma’lumotnoma
reflect|aks ettirish
reflection|aks ettirish
reform|islohot
refugee|qochoq
refuse|rad qilish
regard|munosabat
regarding|haqida
regardless|qat’iy nazar
regime|tartib
region|mintaqa
regional|mintaqaviy
register|ro’yxatdan o’tish
regular|muntazam
regularly|muntazam ravishda
regulate|tartibga solish
regulation|tartibga solish
reinforce|mustahkamlash
reject|rad qilish
relate|bog’lash
relation|munosabat
relationship|munosabat
relative|qarindosh
relatively|nisbatan
relax|Rohatlaning
release|ozod qilish
relevant|muvofiq
relief|yengillik
religion|din
religious|diniy
rely|tayanmoq
remain|qoladi
remaining|qolgan
remarkable|ajoyib
remember|eslab qoling
remind|eslatmoq
remote|masofaviy
remove|olib tashlash
repeat|takrorlang
repeatedly|qayta-qayta
replace|almashtiring
reply|javob bering
report|hisobot
reporter|muxbir
represent|ifodalaydi
representation|vakillik
representative|vakili
Republican|respublikachi
reputation|obro’si
request|iltimos
require|talab qiladi
requirement|talab
research|tadqiqot
researcher|tadqiqotchi
resemble|o’xshaydi
reservation|bron qilish
resident|rezident
resist|qarshilik ko’rsatish
resistance|qarshilik
resolution|rezolyutsiya
resolve|hal qilish
resort|kurort
resource|manba
respect|hurmat
respond|javob bering
respondent|javob beruvchi
response|javob
responsibility|mas’uliyat
responsible|mas’ul
rest|dam olish
restaurant|restoran
restore|tiklash
restriction|cheklash
result|natija
retain|saqlab qolish
retire|iste’foga chiqmoq
retirement|iste’fo
return|qaytish
reveal|oshkor qilish
revenue|daromad
review|ko’rib chiqish
revolution|inqilob
rhythm|ritm
rice|guruch
rich|boy
rid|qutulish
ride|minish
rifle|miltiq
right|to’g’ri
ring|uzuk
rise|ko’tarilish
risk|xavf
river|daryo
road|yo’l
rock|tosh
role|roli
roll|rulon
romantic|romantik
roof|tom
room|xona
root|ildiz
rope|arqon
rose|atirgul
rough|qo’pol
roughly|taxminan
round|dumaloq
route|marshrut
routine|muntazam
row|qator
rub|surtish
rule|qoida
run|yugur
running|yugurish
rural|qishloq
rush|shoshilish
Russian|rus
sacred|muqaddas
sad|qayg’uli
safe|xavfsiz
safety|xavfsizlik
said|dedi
sail|suzib
sake|uchun
salad|salat
salary|ish haqi
sale|sotish
sales|sotish
salt|tuz
same|bir xil
sample|namuna
sanction|sanksiya
sand|qum
sat|o’tirdi
satellite|yo’ldosh
satisfaction|qoniqish
satisfy|qondirish
sauce|sous
save|saqlash
saving|tejash
saw|ko’rgan
say|demoq
scale|masshtab
scandal|janjal
scared|qo’rqib ketdi
scenario|stsenariy
scene|sahna
schedule|jadval
scheme|sxema
scholar|olim
scholarship|stipendiya
school|maktab
science|fan
scientific|ilmiy
scientist|olim
scope|qamrovi
score|Hisob
scream|qichqiriq
screen|ekran
script|skript
sea|dengiz
search|qidirmoq
season|mavsum
seat|o’rin
second|ikkinchi
secret|sir
secretary|kotib
section|Bo’lim
sector|sektor
secure|xavfsiz
security|xavfsizlik
see|qarang
seed|urug’
seek|izlash
seem|tuyuladi
segment|segment
seize|tutmoq
select|tanlang
selection|tanlash
self|o’zini
sell|sotish
Senate|Senat
senator|senator
send|yuborish
senior|katta
sense|tuyg’u
sensitive|sezgir
sent|yuborilgan
sentence|jumla
separate|alohida
sequence|ketma-ketlik
series|seriya
serious|jiddiy
seriously|jiddiy
serve|xizmat qilish
service|xizmat
session|sessiya
set|o’rnatish
setting|sozlash
settle|hal qilmoq
settlement|turar-joy
seven|Yetti
several|bir nechta
severe|og’ir
sex|jinsiy aloqa
sexual|jinsiy
shade|soya
shadow|soya
shake|silkitish
shall|qiladi
shape|shakli
share|baham ko’ring
sharp|keskin
she|u
sheet|varaq
shelf|raf
shell|qobiq
shelter|boshpana
shift|siljish
shine|porlash
ship|kema
shirt|ko’ylak
shit|axir
shock|zarba
shoe|poyabzal
shoot|otish
shooting|tortishish
shop|do’kon
shopping|xarid qilish
shore|qirg’oq
short|qisqa
shortly|qisqa vaqt ichida
shot|otish
should|kerak
shoulder|elka
shout|baqirmoq qichqirmoq
show|ko’rsatish
shower|dush
shrug|yelka qisish
shut|yoping
sick|kasal
side|tomoni
sigh|xo’rsinmoq
sight|ko’rish
sign|belgisi
signal|signal
significance|ahamiyati
significant|muhim
significantly|sezilarli darajada
silence|jimlik
silent|jim
silver|kumush
similar|o’xshash
similarly|xuddi shunday
simple|oddiy
simply|oddiygina
sin|gunoh
since|beri
sing|kuylash
singer|ashulachi
single|yagona
sink|cho’kmoq
sir|ser
sister|opa
sit|o’tirish
site|sayt
situation|vaziyat
six|olti
size|hajmi
ski|chang’i
skill|mahorat
skin|teri
sky|osmon
slave|qul
sleep|uyqu
slice|tilim
slide|slayd
slight|engil
slightly|biroz
slip|sirpanish
slow|sekin
slowly|asta-sekin
small|kichik
smart|aqlli
smell|hid
smile|tabassum
smoke|tutun
smooth|silliq
snap|snap
snow|qor
so|shunday
so-called|deb atalmish
soccer|futbol
social|ijtimoiy
society|jamiyat
soft|yumshoq
software|dasturiy ta’minot
soil|tuproq
solar|quyosh
soldier|askar
solid|qattiq
solution|yechim
solve|hal qilish
some|biroz
somebody|kimdir
somehow|qandaydir tarzda
someone|kimdir
something|nimadur
sometimes|ba’zan
somewhat|biroz
somewhere|qayerdadir
son|o’g’lim
song|Qo’shiq
soon|tez orada
sophisticated|murakkab
sorry|kechirasiz
sort|saralash
soul|jon
sound|ovoz
soup|sho’rva
source|manba
south|janub
southern|Janubiy
Soviet|Sovet
space|bo’sh joy
Spanish|ispancha
speak|gapirish
speaker|ma’ruzachi
special|maxsus
specialist|mutaxassis
species|turlari
specific|xos
specifically|maxsus
speech|nutq
speed|tezlik
spell|afsun
spend|sarflash
spending|sarflash
spin|aylanish
spirit|ruh
spiritual|ruhiy
split|Split
spoke|gapirdi
spokesman|matbuot kotibi
sport|sport
spot|nuqta
spread|tarqalish
spring|bahor
square|kvadrat
squeeze|siqish
stability|barqarorlik
stable|barqaror
staff|xodimlar
stage|bosqich
stair|zinapoya
stake|qoziq
stand|turish
standard|standart
standing|doimiy
star|Yulduz
stare|qarash
start|boshlash
state|davlat
statement|bayonot
station|stantsiya
statistics|statistika
status|holat
stay|qoling
stead|o’rnida
steady|barqaror
steal|o’g’irlash
steam|bug ‘
steel|po’lat
step|qadam
stick|tayoq
still|hali ham
stir|aralashtirmoq
stock|Aksiya
stomach|oshqozon
stone|tosh
stood|turdi
stop|STOP
storage|saqlash
store|do’kon
storm|bo’ron
story|hikoya
straight|Streyt
strange|g’alati
stranger|begona
strategic|strategic
strategy|strategiya
stream|oqim
street|ko’cha
strength|kuch
strengthen|mustahkamlash
stress|stress
stretch|cho’zish
strike|zarba berish
string|ip
strip|tasma
stroke|insult
strong|kuchli
strongly|kuchli
structure|tuzilishi
struggle|kurash
student|talaba
studio|studiya
study|o’rganish
stuff|narsalar
stupid|tentak
style|uslub
subject|Mavzu
submit|topshirish
subsequent|keyingi
substance|modda
substantial|muhim
subtract|ayirish
succeed|muvaffaqiyatga
success|muvaffaqiyat
successful|omadli
successfully|muvaffaqiyatli
such|bunday
sudden|to’satdan
suddenly|birdan
sue|sudga berish
suffer|azob chekish
sufficient|yetarli
suffix|qo’shimchasi
sugar|shakar
suggest|taklif qilish
suggestion|taklif
suicide|o’z joniga qasd qilish
suit|kostyum
summer|yoz
summit|sammit
sun|quyosh
super|a’lo
supply|ta’minlash
support|qo’llab-quvvatlash
supporter|tarafdori
suppose|deylik
supposed|taxmin qilingan
Supreme|Oliy
sure|albatta
surely|albatta
surface|sirt
surgery|jarrohlik
surprise|ajablanib
surprised|hayron
surprising|hayratlanarli
surprisingly|hayratlanarli
surround|qurshamoq
survey|tadqiqot
survival|omon qolish
survive|omon qolish
survivor|omon qolgan
suspect|shubhali
sustain|ushlab turish
swear|qasam iching
sweep|supurish
sweet|shirin
swim|suzish
swing|belanchak
switch|almashtirish
syllable|bo’g’in
symbol|ramzi
symptom|simptom
system|tizimi
table|stol
tablespoon|osh qoshiq
tactic|taktika
tail|quyruq
take|olish
tale|ertak
talent|iste’dod
talk|gapirish
tall|baland
tank|tank
tap|teging
tape|lenta
target|maqsad
task|vazifa
taste|ta’mi
tax|soliq
taxpayer|soliq to’lovchi
tea|choy
teach|o’rgatish
teacher|o’qituvchi
teaching|ta’lim berish
team|jamoa
tear|yirtish
teaspoon|choy qoshiq
technical|texnik
technique|texnikasi
technology|texnologiya
teen|o’smir
teenager|o’smir
teeth|tishlar
telephone|telefon
telescope|teleskop
television|televizor
tell|ayt
temperature|harorat
temporary|vaqtinchalik
ten|o’n
tend|moyil
tendency|moyillik
tennis|tennis
tension|kuchlanish
tent|chodir
term|muddat
terms|shartlari
terrible|qo’rqinchli
territory|hudud
terror|terror
terrorism|terrorizm
terrorist|terrorchi
test|sinov
testify|guvohlik berish
testimony|guvohlik
testing|sinovdan o’tkazish
text|matn
than|dan
thank|rahmat
thanks|rahmat
that|bu
the|the
theater|teatr
their|ularning
them|ular
theme|mavzu
themselves|o’zlari
then|so’ng
theory|nazariya
therapy|terapiya
there|Mana
therefore|shuning uchun
these|bular
they|ular
thick|qalin
thin|yupqa
thing|narsa
think|o’ylab ko’ring
thinking|fikrlash
third|uchinchi
thirty|o’ttiz
this|bu
those|bular
though|Garchi
thought|o’yladi
thousand|ming
threat|tahdid
threaten|tahdid qilish
three|uch
throat|tomoq
through|orqali
throughout|davomida
throw|tashlash
thus|shunday
ticket|chipta
tie|galstuk
tight|qattiq
time|vaqt
tiny|mayda
tip|maslahat
tire|shina
tired|charchagan
tissue|to’qimalar
title|sarlavha
to|uchun
tobacco|tamaki
today|Bugun
toe|oyoq barmog’i
together|birga
told|aytdi
tomato|pomidor
tomorrow|ertaga
tone|ohang
tongue|til
tonight|bugun kechqurun
too|ham
took|oldi
tool|asbob
tooth|tish
top|yuqori
topic|mavzu
toss|tashlamoq
total|jami
totally|butunlay
touch|teginish
tough|qattiq
tour|sayohat
tourist|turist
tournament|turnir
toward|tomon
towards|tomon
tower|minora
town|shahar
toy|o’yinchoq
trace|iz
track|trek
trade|savdo
tradition|an’ana
traditional|an’anaviy
traffic|yo’l harakati
tragedy|fojia
trail|iz
train|poezd
training|trening
transfer|uzatish
transform|aylantirish
transformation|transformatsiya
transition|o’tish
translate|tarjima
transportation|transport
travel|sayohat
treat|davolash
treatment|davolash
treaty|shartnoma
tree|daraxt
tremendous|ulkan
trend|trend
trial|sud
triangle|uchburchak
tribe|qabila
trick|makkorlik
trip|sayohat
troop|askar
trouble|muammo
truck|yuk mashinalari
truly|albatta,
trust|ishonch
truth|haqiqat
try|urinish
tube|trubka
tunnel|tunnel
turn|o’girib
TV|televizor
twelve|o’n ikki
twenty|yigirma
twice|ikki marta
twin|egizak
two|ikki
type|turi
typical|tipik
typically|odatda
ugly|hunuk
ultimate|yakuniy
ultimately|oxir oqibat
unable|qodir emas
uncle|amaki
under|ostida
undergo|duchor
understand|tushunish
understanding|tushunadigan
unfortunately|afsuski
uniform|forma
union|ittifoq
unique|noyob
unit|birlik
United|Birlashgan
universal|umumiy
universe|koinot
university|universitet
unknown|noma’lum
unless|bo’lmasa
unlike|farqli o’laroq
unlikely|dargumon
until|qadar
unusual|g’ayrioddiy
up|yuqoriga
upon|ustiga
upper|yuqori
urban|shaharlik
urge|undov
us|Biz
use|foydalanish
used|ishlatilgan
useful|foydali
user|foydalanuvchi
usual|odatiy
usually|odatda
utility|qulaylik
vacation|dam olish
valley|vodiy
valuable|qimmatli
value|qiymat
variable|o’zgaruvchan
variation|o’zgaruvchanlik
variety|xilma-xillik
various|har xil
vary|farqlanadi
vast|katta
vegetable|sabzavot
vehicle|transport vositasi
venture|korxonasi
verb|fe’l
version|versiya
versus|ga qarshi
very|juda
vessel|kema
veteran|faxriy
via|orqali
victim|qurbon
victory|g’alaba
video|video
view|ko’rinish
viewer|tomoshabin
village|qishloq
violate|buzish
violation|buzilishi
violence|zo’ravonlik
violent|zo’ravon
virtually|virtual
virtue|fazilat
virus|virus
visible|ko’rinadigan
vision|ko’rish
visit|tashrif buyuring
visitor|Mehmon
visual|ingl
vital|hayotiy
voice|ovoz
volume|hajmi
volunteer|ko’ngilli
vote|ovoz berish
voter|saylovchi
vowel|unli
vs|va boshqalar
vulnerable|zaif
wage|ish haqi
wait|Kutmoq
wake|Wake
walk|yurish
wall|devor
wander|sarson-sargardon
want|istayman
war|urush
warm|issiq
warn|ogohlantir
warning|ogohlantirish
was|edi
wash|yuvish
waste|zoe
watch|tomosha qiling
water|suv
wave|to’lqin
way|yo’l
we|biz
weak|zaif
wealth|boylik
wealthy|badavlat
weapon|qurol
wear|eskirish
weather|ob-havo
wedding|to’y
week|hafta
weekend|hafta oxiri
weekly|haftalik
weigh|tortish
weight|vazn
welcome|xush kelibsiz
welfare|farovonlik
well|yaxshi
went|ketdi
were|edi
west|g’arbiy
western|g’arbiy
wet|nam
what|nima
whatever|nima bo’lsa ham
wheel|g’ildirak
when|qachon
whenever|qachon
where|qayerda
whereas|holbuki
whether|xoh
which|qaysi
while|esa
whisper|shivirlash
white|oq
who|JSSV
whole|butun
whom|kimni
whose|kimning
why|nima uchun
wide|keng
widely|keng
widespread|keng tarqalgan
wife|xotini
wild|yovvoyi
will|bo’ladi
willing|tayyor
win|Win
wind|shamol
window|deraza
wine|vino
wing|qanot
winner|g’olib
winter|qish
wipe|artib
wire|sim
wisdom|donolik
wise|dono
wish|tilak
with|bilan
withdraw|chekinmoq
within|ichida
without|holda
witness|guvoh
woman|ayol
women|ayollar
won’t|bo’lmaydi
wonder|hayrat
wonderful|ajoyib
wood|o’tin
wooden|yog’och
word|so’z
work|ish
worker|ishchi
working|ishlaydi
works|ishlari
workshop|ustaxona
world|dunyo
worried|xavotirda
worry|tashvish
worth|qiymat
would|bo’lardi
wound|yara
wrap|o’rash
write|yozish
writer|yozuvchi
writing|yozish
written|yozilgan
wrong|noto’g’ri
wrote|yozgan
yard|hovli
yeah|ha
year|yil
yell|baqirmoq
yellow|sariq
yes|ha
yesterday|kecha
yet|hali
yield|Yo’l bering
you|siz
young|yosh
your|sizning
yours|sizniki
yourself|o’zingiz
youth|yoshlar
zone|zonasi
zoology|zoologiya
zoo|hayvonot bog’i
zombie|zombi
zoom|kattalashtirish
